X	Filing Date	Trade Date	Ticker	Company Name	Insider Name	Title	Trade Type	Price	Qty	Owned	ΔOwn	Value	1d	1w	1m	6m
M	2024-11-01 19:47:38	2024-10-30	SNWVD	Sanuwave Health, Inc.	Opaleye Management Inc.	10%	P - Purchase	$15.75	+27,868	972,002	+3%	+$438,902				
M	2024-11-01 18:16:50	2024-10-30	MODV	Modivcare Inc	Q Global Capital Management, L.P.	10%	P - Purchase	$16.00	+139,515	1,721,617	+9%	+$2,232,375				
	2024-11-01 18:04:41	2024-10-30	FBK	Fb Financial Corp	Ayers James W.	10%	P - Purchase	$51.00	+500	10,906,841	0%	+$25,500				
	2024-11-01 17:49:28	2024-10-30	LLAP	Terran Orbital Corp	Lockheed Martin Corp	10%	P - Purchase	$0.00	+1,000	1,000	New	+$0				
	2024-11-01 17:42:56	2024-11-01	PFBX	Peoples Financial Corp /ms/	Swetman Chevis	CEO, Pres	P - Purchase	$17.75	+16,883	414,049	+4%	+$299,673				
M	2024-11-01 17:26:52	2024-10-30	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	$28.74	+622,000	25,962,498	+2%	+$17,874,956				
M	2024-11-01 16:30:28	2024-10-31	SCKT	Socket Mobile, Inc.	Bass Charlie	Dir, 10%	P - Purchase	$1.11	+10,000	1,496,651	+1%	+$11,134				
	2024-11-01 16:25:57	2024-10-30	RVP	Retractable Technologies Inc	Shaw Thomas J	Pres, CEO, 10%	P - Purchase	$0.71	+601	15,638,436	0%	+$429				
	2024-11-01 16:22:45	2024-10-30	TYRA	Tyra Biosciences, Inc.	Fuhrman Alan	CFO	P - Purchase	$16.00	+9,500	12,849	+284%	+$151,954				
	2024-11-01 16:15:08	2024-10-30	ENGN	Engene Holdings Inc.	Forbion Growth Opportunities Fund I Cooperatief U.A.	10%	P - Purchase	$8.90	+561,797	6,798,362	+9%	+$4,999,993				
D	2024-11-01 16:13:55	2024-11-01	CBNK	Capital Bancorp Inc	Canuso Dominic C	EVP, CFO	P - Purchase	$25.42	+1,000	1,000	New	+$25,418				
	2024-11-01 16:00:36	2024-10-31	BWFG	Bankwell Financial Group, Inc.	Seidman Lawrence B	Dir	P - Purchase	$29.07	+4,976	745,564	+1%	+$144,665				
	2024-11-01 13:25:51	2024-11-01	CALC	Calcimedica, Inc.	Leheny A. Rachel	CEO, 10%	P - Purchase	$3.75	+20,000	871,252	+2%	+$75,000				
	2024-11-01 13:24:19	2024-11-01	CALC	Calcimedica, Inc.	Roberts Eric W	CHIEF BUSINESS OFFICER, 10%	P - Purchase	$3.75	+53,333	974,810	+6%	+$199,999				
	2024-11-01 13:22:09	2024-11-01	CWBC	Community West Bancshares	Bartlein Robert	Dir	P - Purchase	$18.75	+2,000	433,876	0%	+$37,500				
	2024-11-01 13:22:06	2024-11-01	CALC	Calcimedica, Inc.	Wilson Robert N	Dir	P - Purchase	$3.75	+53,333	417,529	+15%	+$199,999				
	2024-11-01 11:50:31	2024-10-31	ATLO	Ames National Corp	Cassabaum Michelle R	Dir	P - Purchase	$17.28	+90	6,958	+1%	+$1,555				
	2024-11-01 11:40:37	2024-10-30	ATLO	Ames National Corp	Benson David W.	Dir	P - Purchase	$17.20	+1,600	9,300	+21%	+$27,520				
	2024-11-01 11:24:00	2024-10-29	LCNB	Lcnb Corp	Johnson Craig Millis	Dir	P - Purchase	$15.41	+1,000	11,484	+10%	+$15,410				
	2024-11-01 10:54:23	2024-10-30	FRAF	Franklin Financial Services Corp /pa/	Jennings Allan E Jr	Dir	P - Purchase	$29.90	+1,000	29,597	+3%	+$29,900				
	2024-11-01 10:51:45	2024-10-30	FRAF	Franklin Financial Services Corp /pa/	Duffey Gregory A	Dir	P - Purchase	$29.90	+33	20,536	0%	+$987				
	2024-11-01 10:37:47	2024-10-31	TPL	Texas Pacific Land Corp	Stahl Murray	Dir	P - Purchase	$1,158.89	+12	1,138,325	0%	+$13,907				
	2024-11-01 09:51:55	2024-10-30	CFB	Crossfirst Bankshares, Inc.	Bruce George	Dir	P - Purchase	$1,000.00	+100	100	New	+$100,000				
	2024-11-01 09:06:25	2024-10-31	DGICA	Donegal Group Inc	Donegal Mutual Insurance Co	10%	P - Purchase	$15.49	+150,432	17,210,936	+1%	+$2,330,333				
	2024-11-01 07:18:05	2024-10-30	MTDR	Matador Resources Co	Stetson Glenn W	EVP-Production	P - Purchase	$51.33	+1,000	85,935	+1%	+$51,330				
M	2024-10-31 19:30:31	2024-10-29	SIRI	Sirius Xm Holdings Inc.	Berkshire Hathaway Inc	10%	P - Purchase	$27.24	+2,227,939	112,504,729	+2%	+$60,692,845				
	2024-10-31 17:14:10	2024-10-30	FBIZ	First Business Financial Services, Inc.	Sanders Carol P	Dir	P - Purchase	$44.77	+134	11,806	+1%	+$5,999				
	2024-10-31 17:00:33	2024-10-31	SCND	Scientific Industries Inc	Moore John A	COB	P - Purchase	$0.97	+7,000	479,772	+1%	+$6,755				
	2024-10-31 16:22:51	2024-10-29	LOB	Live Oak Bancshares, Inc.	Cameron William Henderson	Dir	P - Purchase	$39.76	+1,000	209,591	0%	+$39,762				
	2024-10-31 16:13:28	2024-10-30	MRTN	Marten Transport Ltd	Bauer Jerry M	Dir	P - Purchase	$15.81	+10,000	156,444	+7%	+$158,051				
	2024-10-31 16:06:54	2024-10-30	PFE	Pfizer Inc	Gottlieb Scott	Dir	P - Purchase	$28.24	+1,000	10,000	+11%	+$28,240				
	2024-10-31 16:03:50	2024-10-30	KFS	Kingsway Financial Services Inc	Fitzgerald John Taylor Maloney	Pres, CEO	P - Purchase	$9.40	+266	1,585,458	0%	+$2,500				
	2024-10-31 16:02:37	2024-10-30	KFS	Kingsway Financial Services Inc	Hansen Kent A	CFO, EVP	P - Purchase	$9.40	+166	126,831	0%	+$1,560				
D	2024-10-31 16:02:18	2024-10-30	UMAC	Unusual Machines, Inc.	Lowry Robert Paul	Dir	P - Purchase	$1.52	+32,895	73,502	+81%	+$50,000				
D	2024-10-31 16:02:16	2024-10-30	UMAC	Unusual Machines, Inc.	Evans Allan Thomas	CEO	P - Purchase	$1.52	+65,789	619,439	+12%	+$99,999				
D	2024-10-31 16:02:15	2024-10-30	UMAC	Unusual Machines, Inc.	Rich Sanford	Dir	P - Purchase	$1.52	+65,789	118,696	+124%	+$99,999				
	2024-10-31 15:20:07	2024-10-30	ATLO	Ames National Corp	Swartz Kevin L	Dir	P - Purchase	$17.00	+400	5,180	+8%	+$6,800				
	2024-10-31 12:44:57	2024-10-31	SCLX	Scilex Holding Co	Ji Henry	Exec Chairperson	P - Purchase	$0.94	+8,888	680,884	+1%	+$8,351				
M	2024-10-31 12:30:56	2024-08-20	BTBD	Bt Brands, Inc.	Copperud Gary	CEO, 10%	P - Purchase	$1.69	+16,317	1,005,142	+2%	+$27,538				
